courseType,courseNumber,courseTitle
BB,1001,Introduction To Biology
AR,3210,Human Figure in Motion
EN,2251,Moral Issues In The Modern Novel
MA,4635,Data Analytics And Statistical Learning
WR,513,Ethical Impact and Communication in Robotics and AI Research
OBC,506,Leadership
CH,4140,Metabolism And Disease
GOV,1320,"Topics In International Politics: Law, International NGOs, and Human Rights"
RBE,530,Soft Robotics
CE,534,Structural Design For Fire Conditions
FP,521,Fire Dynamics I
MA,512,Numerical Differential Equations
PY,2717,Philosophy And The Environment
HU,3910,PRAC IN HUA: Technical Production (FA25)
GOV,2311,Environmental Policy And Law
AR,2740,3d Environmental Modeling
WPE,1202,Club Sport - Badminton
WPE,1013,Softball
FP,571,Performance-Based Design
CHE,1011,Introduction To Chemical Engineering
ME,516,Heat Transfer
MIS,583,User Experience Applications
CE,2001,Analytical Mechanics II
CS,4401,Software Security Engineering
MA,590,ST: Principles of Epidemiology
MU,3302,Topics In Digital Sound: Film Music
CE,3041,Soil Mechanics
MA,501,Engineering Mathematics
ME,3311,Dynamics of Mechanisms and Machines
ECE,5105,Introduction To Antenna Design
ME,527,Foundations Of Robotics
PH,597,ST: Quantum Field Theory
HI,1345,Atlantic Worlds
HU,3900,INQ SEM: History of Rationality in Enlightenment Society
CS,588,Computer Science Capstone Experience
WPE,2012,Varsity Baseball Team
ECE,579,ST: Physical Security of Microelectronic Systems
AE,5331,Linear Control Systems
HU,3900,INQ SEM: Literature and the Environment
MA,3213,Actuarial Mathematics II
BB,4050,Cancer Biology
WPE,1009,Walking For Fitness
WPE,1610,Approaches to Holistic Well-Being
HU,3900,INQ SEM: A Christmas Carol
IMGD,4300,"Graphics, Simulation, and Aesthetics"
HU,3900,INQ SEM: Riots and Rebellions in American Cities
CH,516,Chemical Spectroscopy
TH,1221,Introduction to Theatre on Page and Stage
ID,3529,Caribbeanness: Voices Of The Spanish Caribbean
RBE,526,Human-Robot Interaction
CE,4071,Land Use Development And Controls
EN,1222,Shakespeare In The Age Of Elizabeth
MIS,520,Artificial Intelligence and its Business Applications
BME,2210,"Biomedical Signals, Instruments And Measurements"
RE,1731,Introduction To Philosophy And Religion
MA,3627,Introduction To The Design And Analysis Of Experiments
CE,584,Advanced Cost Estimating Procedures
ME,5370,Surface Metrology
BB,3827,Molecular Biology and Genetic Engineering Laboratory
GOV,2302,Science-Technology Policy
ID,2050,"SOC SCI RES-IQP- Zurich, Switzerland (WI)"
ENV,2900,The Green Economy And Models For Alternative Forms Of Development
ESL,500,Acad English for Intl Grad Students
DEV,540,Research Methods
EN,3231,Supernatural Literatures
BCB,501,Bioinformatics
WPE,1236,Club Sport - Women’s Ice Hockey
ME,5202,Advanced Dynamics
ID,2050,SOC SCI RES-IQP-Victoria Canada (WI)
ISE,1800,Academic Skills for English Language Learners
FP,4001,"Fire, Risk, And Sustainability"
DS,5002,Mathematical Foundations For Data Science
WPE,1212,Club Sport - Men's Lacrosse Team
CE,531,Advanced Design Of Steel Structures
EN,3248,The English Novel
MTE,540,Analytical Methods In Materials Engineering
DS,504,Big Data Analytics
HU,3900,INQ SEM: Decolonization and Activism in the African Diaspora
ENV,1500,Introductions To Geographical Information Systems
CE,4063,Transport & Transformations In The Environment
HU,3900,INQ SEM: Philosophy and Religion in Early China
IMGD,3450,Writing Characters For Interactive Media & Games
HU,3910,"PRAC IN HUA: Nature, Design & Art"
HU,3910,PRAC IN HUA: Design (SP26)
EN,3219,Advanced Creative Writing: Fiction
CE,562,Biosystems In Environmental Engineering
BB,570,ST: Quantitative Biology
MA,540,Probability And Mathematical Statistics I
PSY,4500,Experimental Design And Analysis
ECON,1110,Introductory Microeconomics
AE,4220,Fundamentals of Rocket Propulsion
BME,591,Graduate Seminar
CS,4342,Machine Learning
CE,570,Contaminant Fate And Transport
HU,3900,INQ SEM: Nationalism in Asia
IMGD,3000,Technical Game Development I
PY,2734,Philosophy And Spirituality
ID,2050,"SOC SCI RES-IQP- White Mountains, NH (WI)"
MU,2401,Glee Club
IMGD,2048,Technical Art And Character Rigging
ID,2050,SOC SCI RES-IQP- Beijing China (WI)
HI,2314,"American History, 1877-1920"
BME,592,Healthcare Systems And Clinical Practice
DS,554,Natural Language Processing
BME,562,Laboratory Animal Surgery
CH,555,AT: Drug Safety and Regulatory Compliance
BB,562,Cell Cycle Regulation
PH,3401,Quantum Mechanics I
HU,3900,INQ SEM: Writing the Prose Poem
BCB,1003,Explrng Bioinfmtcs & Compu Bio
ID,3526,Comparative Business Environments
CHE,502,Professional Development for Chemical Engineering Master’s Students
CS,673,Advanced Cryptography
MU,2410,Jazz Combo
WPE,1201,Club Sport - Alpine Ski Team
HI,1330,Introduction To The History Of Science And Technology
BB,4001,Bioinformatics
ME,5380,Foundations Of Elasticity
MA,508,Mathematical Modeling
WPE,1699,"ST in Holistic Well-Being: Exploring the impact of nutrition on brain, body, and planet"
BME,593,Scientific Communication
MKT,3640,Management Of Process And Product Innovation
HU,3900,INQ SEM IN HUA: Revolutions
MPE,520,Electrodynamics
AR,2101,3d Modeling I
AE,2310,Introduction to Aerospace Control Systems
ME,4813,Ceramics And Glasses For Engineering Applications
CHE,580,ST: TBD
SP,1523,Elementary Spanish I
CN,3542,Advanced Intermediate Chinese II
MU,3110,Jazz Theory
ME,4606,Biofluids
CS,552,Generative Artificial Intelligence
HI,3334,Topics In The History Of American Science And Technology: Media Revolutions
ECON,2135,Information Economics And Policy
RBE,510,Multi-Robot Systems
ECE,577,Machine Learning in Cybersecurity
CE,3025,Project Evaluation
ECE,5511,Transients In Power Systems
ID,2050,SOC SCI RES-IQP: Hawaii (WI)
AE,3120,Fundamentals of Aerodynamics
SP,3527,Technical And Business Spanish
HI,2350,Topics In The History Of Science: Biology/Anthropology
MU,3202,"Music, Gender, and Power"
CS,5008,Introduction to Systems and Network Programming
AR,2401,Video Production
HU,3900,INQ SEM: Contemporary Moral Problems
WPE,1238,Club Sport – Rangeela: Bollywood Bhangra Fusion
BB,590,Advanced Topics in Biology and Biotechnology
MU,2101,Arranging And Orchestration
CS,4233,Object-Oriented Analysis And Design
PH,3402,Quantum Mechanics II
ID,2050,SOC SCI RES-IQP- Lausanne (WI)
WPE,1234,Club Sport - Women’s Basketball
MA,529,Stochastic Processes
DEV,502,Design for Social Change
RE,3721,Topics In Religion: Daoism
ID,2050,SOC SCI RES-IQP- Glacier National Park (WI)
WR,2300,Intercultural Communication
CHE,501,Professional Development for Chemical Engineering Doctoral Students
HI,2343,East Asia: China At The Center
PSY,2412,Mental Health
SP,3526,Comparative Business Environments
HI,1322,Introduction To European History
DS,556,On-Device Deep Learning
ID,2050,SOC SCI RES-IQP- Cadiz (WI)
SYS,510,Systems Architecture And Design
MKT,569,Product And Brand Management
MU,2451,Conducting
CS,541,Deep Learning
CN,2543,Intermediate Chinese III
OIE,542,Risk Management And Decision Making
IMGD,3210,Human Figure in Motion
EN,1257,Introduction To African American Literature And Culture
HU,3910,PRAC IN HUA: Producer as Composer
MIS,502,Data Management For Analytics
ID,2050,SOC SCI RES-IQP- Worcester Ma (WI)
AR,2222,2d Animation I
ECON,2120,Intermediate Macroeconomics
CN,3543,Advanced Intermediate Chinese III
AE,601,ST: Scientific Deep Learning for Engineers and Scientists
MKT,561,Consumer Behavior And Analytics
HU,3910,PRAC IN HUA: Design & Management (SP25)
WR,3450,Writing Characters For Interactive Media & Games
HU,3900,INQ SEM: American History through Film
ME,593,ST: Machining Processes
ID,2050,SOC SCI RES-IQP- London (WI)
CHE,503,Colloquium
AR,3150,"Light, Vision And Understanding"
IGS,502,Perspectives in Global Health
DS,551,Reinforcement Learning
NSE,570,Diagnostic Medical Physics
INTL,1200,Introduction to Asia
IMGD,5000,Imgd Studio
CS,513,Computer Networks
ID,2050,SOC SCI RES-IQP: COA option ME (WI)
MA,595,Independent Study - Algebraic Topology II
AR,1100,Essentials Of Art
CH,555,AT: Plant Medicinal Chemistry
BB,3825,Plant Physiology Laboratory
PY,3711,Topics In Philosophy: Justice and Responsibility
MA,4632,Probability And Mathematical Statistics II
DS,503,Big Data Management
ID,3525,Spanish American Film/Media: Cultural Issues
ID,2050,SOC SCI RES-IQP- Hawaii (WI)
HU,3900,INQ SEM: European Social Histories of Gender and Disability
CHE,571,Transport Phenomena
WPE,1077,Swimming For Fitness
ME,2312,Introduction To Computational Solutions For Engineering Problems
ID,2050,SOC SCI RES-IQP- Cuenca (WI)
IMGD,5099,ST: Arts Based Research
ID,2050,SOC SCI RES-IQP- Paxton (WI)
BB,2550,Cell Biology
BB,2920,Genetics
MFE,5841,Surface Metrology
ME,3411,Intermediate Fluid Mechanics
WPE,1613,Succeeding as an Introvert
CE,590,ST: Bridge Design and Construction
ME,552,Tissue Mechanics
MIS,3010,Creating Value Through Innovation
MA,510,Numerical Methods
CE,571,Water Chemistry
PH,2201,Intermediate Mechanics I
HU,2502,Global Feminisms
HU,3910,PRAC IN HUA: Writing for the Web
MTE,558,Plastics
PSY,3000,Psychology And Law
IMGD,2900,Digital Game Design I
IMGD,2222,2d Animation I
SS,510,Principles of Epidemiology
OIE,552,Modeling And Optimizing Processes
AE,4410,Fundamentals of Structural Dynamics
ECE,673,Advanced Cryptography
RBE,594,Capstone Project Experience In Robotics Engineering
SEME,525,"Probability, Statistics And Data Analysis II"
CH,3410,"Structure, Bonding, And Reactivity In Inorganic Chemistry"
CS,4513,Distributed Computing Systems
WPE,1203,Club Sport - Ballroom Dancing
AE,2110,Introduction to Incompressible Fluid Dynamics
PY,3712,Philosophy Of Religion
MIS,3720,Business Data Management
FY,1101,GPS: Seeking Sustainability
OBC,4367,"Leadership, Ethics, And Social Responsibility"
ENV,2319,Global Environmental Politics
MU,3303,Topics In Interactive Programming
CE,2002,Introduction To Analysis And Design
CE,587,Building Information Modeling (BIM)
HU,3900,INQ SEM: Oceans
MU,2412,Stage Band
IMGD,2200,AI in Writing and Communication
MU,2002,History of Western Art Music After 1750
PY,2719,Philosophy Of Science
HU,3910,PRAC IN HUA: 2D Design - 3D Sculpture
HI,2900,Topics in Gender and History: Tech Bros
BUS,631,Research Methods and the Research Process
HU,2258,World Cinemas
RBE,4701,Artificial Intelligence for Robotics
BB,570,ST: Biomanufacturing Process Control and Statistical Tools
DS,555,Responsible Artificial Intelligence
RBE,500,Foundations Of Robotics
CE,3022,Legal Aspects Of Professional Practice
HU,3900,INQ SEM: Visions of the City
MA,502,Linear Algebra
CS,5003,Foundations Of Computer Science: An Introduction
HI,2335,Topics In The History Of American Science And Technology: The 20th Century
SP,3525,Spanish American Film/Media: Cultural Issues
ME,5220,Control Of Linear Dynamical Systems
WPE,2014,Varsity Men's And Women's Outdoor Track Team
BME,595,ST: Medical Devices for Global Health
DS,3010,Data Science III: Computational Data Intelligence
EN,1242,Introduction To English Poetry
CH,2330,Organic Chemistry III
SYS,512,Requirements Engineering
HU,3900,"INQ SEM: Writing, Rhetoric, and Social Justice"
CN,3561,Business Chinese
WPE,1223,Club Sport - Women's Soccer
CS,558,Computer Network Security
ID,3150,"Light, Vision And Understanding"
ID,2050,SOC SCI RES- IQP: Melbourne (WI)
ID,2050,SOC SCI RES-IQP: MWROC
WPE,1219,Club Sport - Soma (Society of Martial Arts)
MTE,5843,Fundamentals of Surface Metrology
DS,547,Information Retrieval
RBE,595,ST: Advanced Robot Navigation
ME,5304,Laser Metrology And Nondestructive Testing
RE,3711,Topics In Philosophy: Justice and Responsibility
CS,2223,Algorithms
PSY,4100,School Psychology
AB,1532,Elementary Arabic II
RBE,595,ST: Fundamentals of Artificial Intelligence and Robotics for Autonomous Vehicle Applications
CE,501,Professional Practice
PH,514,Quantum Mechanics I
PSY,3408,Health Psychology
ME,1520,The Technology Of Alpine Skiing
AE,5231,Air Breathing Propulsion
ETR,1100,Engineering Innovation And Entrepreneurship
ENV,1100,Introduction To Environmental Studies
OBC,3354,Organizational Behavior And Change
PH,3502,Solid State Physics
ECE,5523,Power System Dynamics
BB,554,Journal Club
MU,2430,Concert Band
DS,553,Machine Learning Development and Operations
BB,3120,Plant Physiology
BB,3003,Medical Microbiology: Plagues Of The Modern World
MIS,510,Business Application of Blockchain Tech
IGS,590,Capstone Seminar: Comparative Climate Action
MKT,500,Marketing Strategy
EDU,3200,Sheltered English Immersion Endorsement Course For Teachers
IMGD,2450,Narrative Design for Interactive Media and Games
ME,4832,Corrosion And Corrosion Control
FIN,540,Financial Analytics
HU,3910,PRAC IN HUA: Technical Production (SP25)
PH,597,ST: Research Practicum
BB,501,Seminar
CH,4130,Nucleic Acids And Bioinformation
ID,2050,SOC SCI RES-IQP- Puerto Rico (WI)
WPE,1699,ST in Holistic Well-Being: Regenerative Cultures
INTL,2310,Modern Latin America
CP,1003,"Co-Op: New England Infrastructure, Inc."
ME,543,Axiomatic Design Of Manufacturing Processes
OIE,4430,Advanced Prescriptive Analytics: From Data to Impact
HU,3900,INQ SEM: Rhetoric and Popular Culture
MU,1000,Music and Its Makers
WPE,1211,Club Sport - Women's Ultimate Frisbee Team
HI,1350,Introduction To Environmental History
GN,2512,Intermediate German II
OBC,505,Teaming And Organizing For Innovation
HI,2318,"Topics In Law, Justice And American Society: Race, Gender, and the Law"
MA,542,Regression Analysis
WPE,1078,Aquatic Conditioning
HU,3900,INQ SEM: Soviet Space Program
BB,570,ST: Advanced Topics in Biotechnology
CE,565,Surface Water Quality Modeling
HU,3900,INQ SEM: AI and Professional Writing
BB,3101,Human Anatomy & Physiology: Movement And Communication
WPE,1226,Club Sport - Water Polo
WR,1011,Writing About Science And Technology
TH,2100,Fundamentals of Acting
HU,3910,PRAC IN HUA: Illustrating Fiction
ME,4814,Biomaterials
MTE,561,Mechanical Behavior And Fracture Of Materials
WR,2200,AI in Writing and Communication
BME,4503,Computational Biomechanics
RBE,575,Safety and Guarantees for Autonomous Robots
TH,3400,Lighting Design
CHE,580,ST: Applied Machine Learning in Chemical Engineering and Materials Science
FP,520,Fire Modeling
ID,2050,SOC SCI RES-IQP- Greece (WI)
BB,561,Model Systems: Experimental Approaches And Applications
MTE,550,Phase Transformations In Materials
ID,2050,SOC SCI RES- IQP: Hangzhou (WI)
HU,3900,INQ SEM IN HUA: Gravity's Rainbow
PH,585,Science Writing & Proposal Dev
ID,2050,SOC SCI RES-IQP- Istanbul (WI)
CS,4433,Big Data Management and Analytics
INTL,2410,Modern Africa
INTL,1300,Introduction To Latin America
NEU,590,ST IN NEU
BB,570,ST: Practical Process Control
HU,3900,INQ SEM: Writing through Conflict
ECE,4801,Computer Organization And Design
BB,575,Advanced Genetics And Cellular Biology
RBE,511,Swarm Intelligence
HU,3910,PRAC IN HUA: Musical Robotics
WPE,1216,Club Sport - Pep Band
CH,542,Drugs In The Brain
MA,541,Probability And Mathematical Statistics II
WPE,2013,Varsity Softball Team
ME,5383,Continuum Mechanics
PSY,1800,ST In Psychological Science: Science and Practice of Well-Being: Pathways to Flourishing
HU,3910,PRAC IN HUA: Writing a Web Series
GN,3514,Seminar On Selected Topics In German Literature
ME,593,ST: Design and Optimization of Thermal Systems
RBE,549,Computer Vision
MU,2413,African Drumming Ensemble
PH,2502,Lasers
MTE,520,Axiomatic Design Of Manufacturing Processes
PY,3721,Topics In Religion: (Gender) Jihad
PH,2202,Intermediate Mechanics II
DS,4433,Big Data Management and Analytics
HI,3343,Topics In Asian History
WPE,1225,Club Sport - Scuba Co-Ed
HU,2251,Introduction To Film Studies
HI,2900,"Topics in Gender and History: Women, Peace, and Conflict"
GOV,2314,Cyberlaw And Policy
WPE,1207,Club Sport - Karate
HI,3312,Topics In American Social History: Love and Marriage
WPE,1017,Beginning Swimming
MA,556,Applied Bayesian Statistics
WPE,1214,Club Sport - Men's Volleyball Team
ECE,505,Computer Architecture
HU,3900,INQ SEM: The Beatles
WPE,1239,Club Sport – Powerlifting
WPE,1003,Intro To Badminton
ME,5358,Plastics
ES,3323,Advanced Computer Aided Design
CH,4120,Lipids And Biomembrane Functions
ECON,2910,Economics And Entrepreneurship
BME,523,Biomedical Instrumentation
RE,2716,"Gender, Race, and Class"
ME,4424,Radiation Heat Transfer Application & Design
ID,2050,SOC SCI RES-IQP: Nepal (WI)
ECON,2155,Experimental Economics
WPE,2010,Varsity Men's And Women's Swim Team
ENV,2500,Psychology for Sustainability
CS,556,On-Device Deep Learning
ID,2050,SOC SCI RES-IQP- Denmark (WI)
EN,2237,Literature And The Environment
AR,3222,2d Animation II
SYS,501,Concepts Of Systems Engineering
SS,1505,Games For Understanding Complexity
ECE,514,Fundamentals Of RF And MW Engineering
HU,3900,INQ SEM: History Through Film
HU,3900,INQ SEM: Early American History
AE,4510,Aircraft Design
HU,3900,INQ SEM: The Poetic Sequence
HU,3900,INQ SEM: Native American History
HU,3900,INQ SEM IN HUA: Rhetoric and Popular Culture
BME,4606,Biofluids
CH,1001,Exploring Majors and Careers in Chemistry and Biochemistry
MA,4892,Topics In Actuarial Mathematics
HU,3900,INQ SEM IN HUA: African Literature
WPE,1231,Club Sport - Freestyle Wrestling
WPE,2015,Varsity Men's Crew Team
BB,4900,Advanced Topics in Biology and Biotechnology
CE,514,Continuum Mechanics
ECON,2130,Econometric Modeling
WPE,1612,Introductory Yoga
ID,2314,Cyberlaw And Policy
RBE,580,Biomedical Robotics
EN,1251,Introduction To Literature
HU,3570,Topics in Film Studies
IMGD,5300,Design Of Interactive Experiences
EN,2219,Creative Writing: Creative Nonfiction
BB,3620,Developmental Biology
SYS,585,Systems Engineering Capstone Experience
BUS,546,Managing Technological Innovation
BCB,590,ST: RNASeq Analysis
HI,2310,Topics In Urban History
WPE,2006,Varsity Men's And Women's Cross Country Team
WPE,2003,Varsity Women's Soccer Team
WPE,1221,Club Sport - Running
DS,595,ST: Machine Learning for Engineering & Science Applications
HU,3910,PRAC IN HUA: Develop Technology for Music
ME,514,Fluid Dynamics
AE,5432,Composite Materials
ID,2050,SOC SCI RES-IQP- Venice (WI)
EN,3238,American Authors: James Baldwin
MA,4222,Top Algorithms In Applied Mathematics
PY,3711,Topics In Philosophy
BCB,590,ST: Bioinformatics of Host-Pathogen Interactions
MU,2501,Music And Mind
OIE,3510,Stochastic Models
AREN,3020,Architectural Design IV - Building Energy Simulation
BUS,596,Master Of Science Capstone Project
ETR,2900,Social Entrepreneurship
MTE,594,ST: Machining Processes
MIS,581,Policy And Strategy For Information Technology And Analytics
BUS,1020,Global Environment Of Business Decisions
PY,3711,Topics In Philosophy: Knowledge and Happiness
HI,2320,Modern European History
FY,1100,GPS: Our Unequal World
OBC,533,Negotiations
HU,2901,Topics in Sexuality and LGBTQ+ Studies: Queering Bioethics
ES,3004,Fluid Mechanics
AE,6433,Aeroelasticity
CS,585,Big Data Management
CS,4123,Theory Of Computation
WPE,1228,Club Sport - Cycling
HU,3910,PRAC IN HUA: Visual Persuasion
CS,555,Responsible Artificial Intelligence
HU,3910,PRAC IN HUA: Developing Technology for Music
PH,554,Solid State Physics
AR,2333,3d Animation I
HU,2901,Topics in Sexuality and LGBTQ+ Studies
IGS,596,ST in IGS: GIS for Climate Resilience
BB,3060,Animal Behavior
HU,3900,INQ SEM: Urban History
MU,2020,History Of American Popular Music
MKT,562,Marketing Research
MA,3231,Linear Programming
CS,578,Cryptography And Data Security
WPE,1699,ST in Holistic Well-Being: Intuitive Eating
GOV,2313,Intellectual Property Law
MFE,500,Current Topics In Manufacturing Seminar
BME,552,Tissue Mechanics
ID,500,Responsible Conduct Of Research
CH,520,Cell Signaling
FP,582,Quantitative Risk Analysis
GN,1512,Elementary German II
ECE,5312,Modern Digital Communications
IMGD,1000,Critical Studies Of Interactive Media And Games
MA,511,Applied Statistics For Engineers And Scientists
HU,3900,INQ SEM: Effortless Action
ME,4422,Design and Optimization of Thermal Systems
RBE,521,Legged Robotics
ID,2050,SOC SCI RES-IQP-Worcester Teacher Preparation Project Center
ME,593,Design and Optimization of Thermal Systems
MTE,5841,Surface Metrology
MFE,5385,Metal Additive Manufacturing
SOC,1202,Introduction To Sociology And Cultural Diversity
AE,5133,Kinetic Theory of Gases and Applications
CS,539,Machine Learning
PH,3501,Relativity
INTL,3050,Global Re-Entry Seminar
ECE,4503,Power Electronics and Power Management
WR,3011,Teaching Writing
OIE,3420,"Quality Planning, Design And Control"
DS,5006,Machine Learning for Engineering and Science Applications
SP,3522,Advanced Spanish II
SYS,579,ST: Software Systems Engineering
MU,2001,History of Western Art Music Before 1750
BB,581,Bioinformatics
CS,586,Big Data Analytics
FP,573,Industrial Fire Protection
TH,2400,Fundamentals of Theatrical Design
BCB,504,Statistical Methods In Genetics And Bioinformatics
CE,3020,Project Management
CS,4445,Data Mining And Knowledge Discovery In Databases
WPE,1200,Club Sport - Miscellaneous
WPE,1213,Club Sport - Women's Lacrosse Team
AR,2700,Digital Painting
HU,3910,PRAC IN HUA: Technical Production (SP26)
FIN,1250,Personal Finance
WPE,1206,Club Sport - Men's Ice Hockey
GOV,2310,Constitutional Law: Foundations Of Government
CS,3013,Operating Systems
NSE,580,Radiation Therapy Physics
AE,4210,Fundamentals of Air-Breathing Propulsion
ME,3506,Rehabilitation Engineering
CS,584,Algorithms: Design And Analysis
WR,3210,Technical Writing
HU,3900,INQ SEM: Travel Writing
RE,3711,Topics In Philosophy: Knowledge and Happiness
HU,3910,PRAC IN HUA: Light Art
AR,2202,Figure Drawing
WR,2410,Screenwriting
CS,587,Cyber Security Capstone Experience
BME,4831,Drug Delivery
AB,2532,Intermediate Arabic II
RBE,595,ST: Optimal Control
CE,563,Industrial Waste Treatment
FY,1100,GPS: Heal the World
MU,3230,World Music
MME,528,Mathematical Modeling And Problem Solving
HU,1500,"Introduction To Gender, Sexuality & Women's Studies"
SYS,511,"Systems Integration, Verification & Validation"
MFE,5420,Fundamentals Of Axiomatic Design Of Manufacturing Processes
FY,1100,GPS: Seeking Sustainability
