courseType,courseNumber,courseTitle
CE,3006,Design Of Steel Structures
CE,3008,Design Of Reinforced Concrete Structures
CE,3010,Structural Engineering.
CE,3020,Project Management
CE,3022,Legal Aspects Of Professional Practice
CE,3025,Project Evaluation
CE,3026,Materials Of Construction
CE,303X,Virtual Design and Construction (VDC)
CE,3041,Soil Mechanics
CE,3044,Foundation Engineering
CE,3050,Traffic Engineering
CE,3059,Environmental Engineering
CE,3060,Water Treatment
CE,3061,Waste Water Treatment
CE,3062,Hydraulics
CE,3070,Urban And Environmental Planning
CE,3074,Environmental Analysis
CE,4044,Foundation Engineering
CE,4060,Environmental Engineering Laboratory
CE,4061,Hydrology
CE,4063,Transport & Transformations In The Environment
CE,4071,Land Use Development And Controls
CE,4600,Hazardous And Industrial Waste Management
CE,460X,Environmental Engineering Laboratory II
CE,501,Professional Practice
CE,514,Continuum Mechanics
CE,519,Advanced Structural Analysis
CE,5303,Applied Finite Element Methods In Engineering
CE,531,Advanced Design Of Steel Structures
CE,534,Structural Design For Fire Conditions
CE,561,Advanced Principles Of Wastewater Treatment
CE,562,Biosystems In Environmental Engineering
CE,563,Industrial Waste Treatment
CE,565,Surface Water Quality Modeling
CE,570,Contaminant Fate And Transport
CE,571,Water Chemistry
CE,574,Water Resources Management
CE,583,Contracts And Law For Civil Engineers
CE,584,Advanced Cost Estimating Procedures
CE,587,Building Information Modeling (BIM)
CE,590,ST: Degradation of Infrastructure
CE,590,ST: Advanced Geotechnical Engineering
CE,590,ST: Bridge Design and Construction
CE,590,SP: Environmental Health and Engineering
CE,590,SP: Negotiation and Conflict Resolution in the Construction Industry
CE,596,Graduate Seminar
CH,1001,Exploring Majors and Careers in Chemistry and Biochemistry
CH,1010,Chemical Properties, Bonding, And Forces
CH,1020,Chemical Reactions
CH,1030,Kinetics, Equilibrium And Thermodynamics
CH,1040,Spectroscopy In Organic And Polymer Chemistry
CH,2310,Organic Chemistry I
CH,2320,Organic Chemistry II
CH,2330,Organic Chemistry III
CH,2360,Organic Laboratory
CH,2640,Experimental Chemistry I: Instrumental Analysis
CH,2650,Modern Physical Chemistry Methods
CH,2660,Organic Synthesis And Analysis Laboratory
CH,2670,Interest List - Investigation Of Coordination Complexes Through Inquiry
CH,2670,Investigation Of Coordination Complexes Through Inquiry
CH,3410,Structure, Bonding, And Reactivity In Inorganic Chemistry
CH,3510,Chemical Thermodynamics
CH,3520,Fundamentals of Applying Mathematical Methods in Chemistry and Biochemistry
CH,3530,Quantum Chemistry
CH,3550,Chemical Dynamics
CH,4110,Protein Structure And Function
CH,4120,Lipids And Biomembrane Functions
CH,4130,Nucleic Acids And Bioinformation
CH,4140,Metabolism And Disease
CH,4150,Enzymology And Protein Characterization Laboratory
CH,4170,Experimental Genetic Engineering
CH,4190,Regulation Of Gene Expression
CH,421X,Applications of AI in Life Sciences Molecular Studies
CH,4420,Principles and Applications of Group Theory in Chemistry
CH,4520,Chemical Statistical Mechanics
CH,516,Chemical Spectroscopy
CH,520,Cell Signaling
CH,538,Medicinal Chemistry
CH,540,Regulation Of Gene Expression
CH,542,Drugs In The Brain
CH,544,Elucidation Of Organic Reaction Mechanisms
CH,554,Molecular Modeling
CH,555,ST: AI in Molecular Life Sciences
CH,555,ST: Metals in Biology
CH,555,Advanced Topics: Supramolecular Chemistry
CH,555,AT: Introduction to Sensor Science and Technology
CH,555,AT: Drug Regulations
CH,555,AT: Plant Medicinal Chemistry
CH,555,AT: Drug Safety and Regulatory Compliance
CH,555,AT: Cannabis Chemistry
CH,571,Seminar
CHE,1011,Introduction To Chemical Engineering
CHE,2011,Chemical Engineering Fundamentals
CHE,2012,Elementary Chemical Processes
CHE,2013,Applied Chemical Engineering Thermodynamics
CHE,2014,Advanced Chemical Processes
CHE,3201,Kinetics And Reactor Design
CHE,3301,Introduction To Biological Engineering
CHE,3501,Applied Mathematics In Chemical Engineering
CHE,3702,Energy Challenges In The 21st Century
CHE,3722,Bioenergy
CHE,4063,Transport & Transformations In The Environment
CHE,4401,Unit Operations Of Chemical Engineering I
CHE,4402,Unit Operations Of Chemical Engineering II
CHE,4403,Chemical Engineering Design
CHE,4404,Chemical Plant Design Project
CHE,4405,Chemical Process Dynamics And Control Laboratory
CHE,501,Professional Development for Chemical Engineering Doctoral Students
CHE,502,Professional Development for Chemical Engineering Master’s Students
CHE,503,Colloquium
CHE,504,Mathematical Analysis In Chemical Engineering
CHE,509,Reactor Design And Kinetics
CHE,515,Research Analysis And Design
CHE,521,Biochemical Engineering
CHE,554,Molecular Modeling
CHE,561,Thermodynamics
CHE,565,Advanced Process Engineering
CHE,571,Transport Phenomena
CHE,580,ST: Pathways to Chemical Engineering
CHE,580,ST: Applied Machine Learning in Chemical Engineering and Materials Science
CHE,580,ST: TBD
CHE,580,ST: Sustainable Materials
CN,1541,Elementary Chinese I
CN,1542,Elementary Chinese II
CN,1543,Elementary Chinese III
CN,2541,Intermediate Chinese I
CN,2542,Intermediate Chinese II
CN,2543,Intermediate Chinese III
CN,2544,Intermediate Chinese IV
CN,3541,Advanced Intermediate Chinese I
CN,3542,Advanced Intermediate Chinese II
CN,3543,Advanced Intermediate Chinese III
CN,3561,Business Chinese
CN,3571,Contemporary China: Culture and Trends
CP,1000,Coop: Altair Engineering, Inc.
CP,1000,Coop: Bel Air Finishing Corp.
CP,1003,Co-Op: New England Infrastructure, Inc.
CS,1004,Introduction To Programming For Non-Majors
CS,1101,Introduction To Program Design
CS,1102,Accelerated Introduction To Program Design
CS,2011,Introduction To Machine Organization And Assembly Language
CS,2022,Discrete Mathematics
CS,2102,Object-Oriented Design Concepts
CS,2103,Accelerated Object-Oriented Design Concepts
CS,2119,Application Building With Object-Oriented Concepts
CS,2223,Algorithms
CS,2301,Systems Programming For Non-Majors
CS,2303,Systems Programming Concepts
CS,3013,Operating Systems
CS,3041,Human-Computer Interaction
CS,3043,Social Implications Of Information Processing
CS,3133,Foundations Of Computer Science
CS,340X,Introduction to Security
CS,3431,Database Systems I
CS,3516,Computer Networks
CS,3733,Interest List - Software Engineering
CS,3733,Software Engineering
CS,4032,Numerical Methods For Linear And Nonlinear Systems
CS,4033,Interest List - Numerical Methods For Calculus And Differential Equations
CS,4033,Numerical Methods For Calculus And Differential Equations
CS,4099,ST: Graph Machine Learning
CS,4100,Artificial Intelligence For Interactive Media And Games
CS,411X,Multiplayer Network Games
CS,4120,Analysis Of Algorithms
CS,4123,Theory Of Computation
CS,4233,Object-Oriented Analysis And Design
CS,4241,Webware: Computational Technology For Network Information Systems
CS,4300,Graphics, Simulation, and Aesthetics
CS,4341,Introduction To Artificial Intelligence
CS,4342,Machine Learning
CS,4401,Software Security Engineering
CS,4404,Tools And Techniques In Computer Network Security
CS,4432,Database Systems II
CS,4433,Big Data Management and Analytics
CS,4445,Data Mining And Knowledge Discovery In Databases
CS,4513,Distributed Computing Systems
CS,4516,Advanced Computer Networks
CS,4518,Mobile & Ubiquitous Computing
CS,4533,Techniques Of Programming Language Translation
CS,4536,Programming Languages
CS,4731,Computer Graphics
CS,4732,Computer Animation
CS,4801,Introduction To Cryptography And Communication Security
CS,4804,Data Visualization
CS,5003,Foundations Of Computer Science: An Introduction
CS,5007,Introduction To Applications Of Computer Science With Data Structures And Algorithms
CS,5008,Introduction to Systems and Network Programming
CS,502,Operating Systems
CS,503,Foundations Of Computer Science
CS,5084,Introduction To Algorithms: Design And Analysis
CS,509,Design Of Software Systems
CS,513,Computer Networks
CS,522,Numerical Methods
CS,525,ST: ML on Mobile
CS,525,Topics In Computer Science: Human-AI interface
CS,526,Human-Robot Interaction
CS,528,Mobile And Ubiquitous Computing
CS,534,Introduction to Artificial Intelligence
CS,536,Programming Language Design
CS,539,Machine Learning
CS,541,Deep Learning
CS,542,Database Management Systems
CS,543,Computer Graphics
CS,545,Digital Image Processing
CS,546,Human-Computer Interaction
CS,547,Information Retrieval
CS,548,Knowledge Discovery And Data Mining
CS,549,Computer Vision
CS,551,Reinforcement Learning
CS,552,Generative Artificial Intelligence
CS,553,Machine Learning Development and Operations
CS,554,Natural Language Processing
CS,555,Responsible Artificial Intelligence
CS,556,On-Device Deep Learning
CS,557,Software Security Design And Analysis
CS,558,Computer Network Security
CS,565,User Modeling
CS,571,Case Studies In Computer Security
CS,573,Data Visualization
CS,577,Advanced Computer And Communications Networks
CS,578,Cryptography And Data Security
CS,584,Algorithms: Design And Analysis
CS,585,Big Data Management
CS,586,Big Data Analytics
CS,587,Cyber Security Capstone Experience
CS,588,Computer Science Capstone Experience
CS,673,Advanced Cryptography
DEV,1200,International Development And Society
DEV,2200,Case Studies In International Development Policy And Engineering
DEV,300X,Africa and Globalization: Roots and Routes
DEV,501,Social Innovation and Global Development
DEV,502,Design for Social Change
DEV,510,Design Studio 1
DEV,530,Ethics and Social Justice in Science, Engineering and Development
DEV,540,Research Methods
DEV,550,Policy Evaluation
DS,1010,Data Science I: Introduction To Data Science
DS,2010,Data Science II: Modeling And Data Analysis
DS,3010,Data Science III: Computational Data Intelligence
DS,4433,Big Data Management and Analytics
DS,4635,Data Analytics And Statistical Learning
DS,5002,Mathematical Foundations For Data Science
DS,5006,Machine Learning for Engineering and Science Applications
DS,501,Introduction To Data Science
DS,502,Statistical Methods For Data Science
DS,503,Big Data Management
DS,504,Big Data Analytics
DS,541,Deep Learning
DS,547,Information Retrieval
DS,551,Reinforcement Learning
DS,552,Generative Artificial Intelligence
DS,553,Machine Learning Development and Operations
DS,554,Natural Language Processing
DS,555,Responsible Artificial Intelligence
DS,556,On-Device Deep Learning
DS,577,Machine Learning in Cybersecurity
DS,595,ST: Machine Learning for Engineering & Science Applications
DS,596,Independent Study - BSMS Credit
DS,598,Graduate Qualifying Project
ECE,2010,Introduction To Electrical And Computer Engineering
ECE,2019,Sensors, Circuits, And Systems
ECE,2029,Introduction To Digital Circuit Design
ECE,2039,Computational Engineering
ECE,2049,Embedded Computing In Engineering Design
ECE,2112,Electromagnetic Fields
ECE,2201,Microelectronic Circuits I
ECE,2305,Introduction To Communications And Networks
ECE,2311,Continuous-Time Signal And System Analysis
ECE,2312,Discrete-Time Signal And System Analysis
ECE,2799,Electrical And Computer Engineering Design
ECE,3012,Introduction To Control Systems Engineering
ECE,3113,Introduction To RF Circuit Design
ECE,3204,Microelectronic Circuits II
ECE,3308,Introduction To Wireless Networks
ECE,331X,Software Radio Design
ECE,3405,Foundations and Trends in Machine Learning for Engineering
ECE,3500,Introduction To Contemporary Electric Power Systems
ECE,3501,Electrical Energy Conversion
ECE,3829,Advanced Digital System Design With FPGAs
ECE,3849,Real-Time Embedded Systems
ECE,4011,Biomedical Signal Analysis
ECE,4023,Biomedical Instrumentation Design
ECE,4503,Power Electronics and Power Management
ECE,4703,Real-Time Digital Signal Processing
ECE,4801,Computer Organization And Design
ECE,4802,Introduction To Cryptography And Communication Security
ECE,4901,CMOS Fundamentals
ECE,4902,Analog Integrated Circuit Design
ECE,502,Analysis Of Probabilistic Signals And Systems
ECE,503,Digital Signal Processing
ECE,504,Analysis Of Deterministic Signals And Systems
ECE,505,Computer Architecture
ECE,506,Introduction To Local And Wide Area Networks
ECE,5105,Introduction To Antenna Design
ECE,5106,Modeling Of Electromagnetic Fields In Electrical & Biological Systems
ECE,514,Fundamentals Of RF And MW Engineering
ECE,5204,Analog Circuits And Intuition
ECE,523,Power Electronics
ECE,524,Advanced Analog Integrated Circuit Design
ECE,531,Principles Of Detection And Estimation Theory
ECE,5311,Information Theory And Coding
ECE,5312,Modern Digital Communications
ECE,537,Advanced Computer And Communications Networks
ECE,539,ST: Wearable/Mobile Sensors and Systems
ECE,545,Digital Image Processing
ECE,5500,Power System Analysis
ECE,5511,Transients In Power Systems
ECE,5520,Power System Protection And Control
ECE,5521,Protective Relaying
ECE,5522,Advanced Applications In Protective Relaying
ECE,5523,Power System Dynamics
ECE,5530,Power Distribution
ECE,5532,Distributed And Renewable Power Generation
ECE,5540,Power Transmission
ECE,556,On-Device Deep Learning
ECE,571,Machine Learning for Engineering Applications
ECE,574,Advanced Digital Systems Design
ECE,576,Applied Cryptography and Physical Attacks
ECE,577,Machine Learning in Cybersecurity
ECE,578,Cryptography And Data Security
ECE,579,ST: Physical Security of Microelectronic Systems
ECE,588,Cyber Security Capstone Experience
ECE,596,Graduate Seminars
ECE,673,Advanced Cryptography
ECON,1110,Introductory Microeconomics
ECON,1120,Introductory Macroeconomics
ECON,2110,Intermediate Microeconomics
ECON,2120,Intermediate Macroeconomics
ECON,2130,Econometric Modeling
ECON,2135,Information Economics And Policy
ECON,2145,Behavioral Economics
ECON,2155,Experimental Economics
ECON,220X,Ecological Systems and Economic Policy
ECON,2910,Economics And Entrepreneurship
ECON,3117,Environmental Economics
EDU,2200,Community Engagement & Pre-Practicum in Teaching
EDU,2200,Early Fieldwork in STEM Teaching and Community Engagement
EDU,2300,Teaching K-12 STEM in the Community
EDU,3200,Sheltered English Immersion Endorsement Course For Teachers
EDU,4000,Topics in Teacher Preparation: Practicum Seminar
EDU,4100,Teaching Methods in Science, Technology, Engineering, and Mathematics
EDU,4200,Senior Seminar
EDU,500,Foundations of Integrated STEM Education
EDU,510,Classroom Climate that Supports Diverse STEM Learners
EDU,580,ST: The Storyline Model of Teaching & Learning Science
EDU,580,ST: AI in STEM Education
EN,1219,Introduction to Creative Writing
EN,1222,Shakespeare In The Age Of Elizabeth
EN,1242,Introduction To English Poetry
EN,1251,Introduction To Literature
EN,1257,Introduction To African American Literature And Culture
EN,2219,Creative Writing: Poetry
EN,2219,Creative Writing: Creative Nonfiction
EN,2219,Creative Writing: Fiction
EN,2219,Creative Writing: Memoir
EN,2226,Infected Shakespeare: Venereal Disease, Madness, Plague
EN,2234,Modern American Novel
EN,2237,Literature And The Environment
EN,2242,Popular Fiction: Reading In Installments
EN,2251,Moral Issues In The Modern Novel
EN,2252,Science And Scientists In Modern Literature
EN,2281,World Literatures: The Best of Russian Literature
EN,2281,World Literatures
EN,2410,Screenwriting
EN,3219,Advanced Creative Writing: Creative Nonfiction
EN,3219,Advanced Creative Writing: Fiction
EN,3219,Advanced Creative Writing: Nonfiction
EN,3226,Strange And Strangers
EN,3231,Supernatural Literatures
EN,3234,Modern American Poetry
EN,3238,American Authors: James Baldwin
EN,3248,The English Novel
EN,3257,Topics in African American Literature
EN,3271,American Literary Topics: Speculative Fiction
ENV,1100,Introduction To Environmental Studies
ENV,1500,Introductions To Geographical Information Systems
ENV,2201,Planning For Sustainable Communities
ENV,2319,Global Environmental Politics
ENV,2500,Psychology for Sustainability
ENV,2700,Social Media, Social Movements, And The Environment
ENV,2710,Designing for Climate Resilience and Justice
ENV,2800,ST: Regenerating Deserts: Politics, Ecology, Practices, and Futures
ENV,2800,ST: Documentary Filmmaking, Advocacy and Policymaking for Climate Action
ENV,2900,The Green Economy And Models For Alternative Forms Of Development
ENV,3100,Adventures In Sustainable Urbanism
ES,1020,Introduction To Engineering
ES,1310,Introduction To Computer Aided Design
ES,1500,Fundamentals of Systems Thinking
ES,2001,Introduction To Materials Science
ES,2501,Introduction To Static Systems
ES,2502,Stress Analysis
ES,2503,Introduction To Dynamic Systems
ES,2800,Environmental Impacts Of Engineering Decisions
ES,3001,Introduction To Thermodynamics
ES,3002,Mass Transfer
ES,3003,Heat Transfer
ES,3004,Fluid Mechanics
ES,3011,Control Engineering I
ES,3323,Advanced Computer Aided Design
ESL,500,Acad English for Intl Grad Students
ETR,1100,Engineering Innovation And Entrepreneurship
ETR,112X,Innovation and the Entrepreneurial Mindset
ETR,2900,Social Entrepreneurship
ETR,2910,Economics And Entrepreneurship
ETR,4930,Growing And Managing New Ventures
ETR,500,Entrepreneurship And Innovation
ETR,593,Technology Commercialization
FIN,1250,Personal Finance
FIN,2070,Fundamentals of Finance
FIN,3300,Finance & Technology
FIN,3310,Financial Markets and Digital Currencies
FIN,3330,Financial Analytics
FIN,500,Financial Management
FIN,530,Cryptocurrencies and Financial Markets
FIN,540,Financial Analytics
FP,3070,Introduction To Fire Protection Engineering
FP,3080,Introduction To Building Fires Safety System Design
FP,4000,Fire Laboratory
FP,4001,Fire, Risk, And Sustainability
FP,520,Fire Modeling
FP,521,Fire Dynamics I
FP,553,Fire Protection Systems
FP,554,Advanced Fire Suppression
FP,555,Detection, Alarm And Smoke Control
FP,570,Building Fire Safety I
FP,571,Performance-Based Design
FP,573,Industrial Fire Protection
FP,575,Explosion Protection
FP,580,SP: Forensic Techniques
FP,580,SP: Complex Decision Making
FP,580,ST: Complex Decision Making
FP,580,SP: Combustion
FP,580,SP: Explosion Modeling Practical Applications
FP,582,Quantitative Risk Analysis
FP,585,Explosion Dynamics
FP,588,Practical Explosion Analysis: Case Studies in Energy Industry
FY,1100,GPS: Climate Change
FY,1100,GPS: Seeking Sustainability
FY,1100,GPS: Recover, Reuse
FY,1100,GPS: Shelter the World
FY,1100,GPS: Heal the World
FY,1100,GPS: Our Unequal World
FY,1100,GPS: Extinctions
FY,1100,GPS: Smart & Sustainable Cities
FY,1100,GPS: AI, Design, and Society
FY,1100,GPS: Power the World
FY,1100,GPS: Humanitarian Engineering
FY,1101,GPS: Climate Change
FY,1101,GPS: Seeking Sustainability
FY,1101,GPS: Recover, Reuse
FY,1101,GPS: Heal the World
FY,1101,GPS: Our Unequal World
FY,1101,GPS: Extinctions
FY,1101,GPS: Smart & Sustainable Cities
FY,1101,GPS: AI, Design, and Society
FY,1101,GPS: Shelter the World
FY,1101,GPS: Power the World
FY,1101,GPS: Humanitarian Engineering
FY,1800,Discovering Majors And Careers
GE,2341,Geology
GN,1511,Elementary German I: Identities and Communities
GN,1512,Elementary German II
GN,250X,German for Professional Purposes
GN,2511,Intermediate German I: Cultural Practices and Products of the German-Speaking World
GN,2512,Intermediate German II
